epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1475.01,1.35437,1.45297,1.80521,0.56647,0.69921,0.64814,0.41165,1.4375,1.3931,1.98453,0.007756,0.007756,0.007756
70,1489.86,1.35669,1.43829,1.80589,0.57089,0.72536,0.67279,0.4218,1.43296,1.36326,1.92535,0.007723,0.007723,0.007723
71,1504.87,1.34227,1.43779,1.78947,0.59312,0.70295,0.66895,0.43056,1.41842,1.38683,1.94545,0.00769,0.00769,0.00769
72,1520.04,1.35366,1.44796,1.79515,0.54774,0.7225,0.66997,0.43455,1.43909,1.31502,1.93389,0.007657,0.007657,0.007657
73,1535.51,1.36025,1.42231,1.80644,0.6012,0.6727,0.66414,0.41688,1.42687,1.36278,1.94389,0.007624,0.007624,0.007624
74,1550.42,1.34961,1.40428,1.7851,0.66131,0.62616,0.68515,0.4198,1.49125,1.37258,1.97692,0.007591,0.007591,0.007591
75,1565.53,1.34286,1.41137,1.78614,0.62449,0.69933,0.68761,0.44001,1.41289,1.33428,1.90862,0.007558,0.007558,0.007558
76,1580.49,1.33117,1.38762,1.76655,0.60798,0.66751,0.67573,0.42705,1.44613,1.33925,1.95736,0.007525,0.007525,0.007525
77,1595.7,1.33182,1.39488,1.77685,0.64258,0.67341,0.70041,0.43993,1.448,1.34323,1.92885,0.007492,0.007492,0.007492
78,1611.13,1.32972,1.40646,1.77578,0.63884,0.70693,0.69526,0.45581,1.42011,1.30011,1.92433,0.007459,0.007459,0.007459
79,1626.14,1.34119,1.39018,1.77884,0.61617,0.69236,0.67626,0.43192,1.44514,1.33717,1.95187,0.007426,0.007426,0.007426
80,1641.52,1.32309,1.38922,1.76537,0.58256,0.72103,0.68867,0.44203,1.43659,1.33242,1.93174,0.007393,0.007393,0.007393
81,1656.36,1.32917,1.38427,1.76993,0.57534,0.67716,0.66837,0.42409,1.4348,1.38391,1.9332,0.00736,0.00736,0.00736
82,1671.55,1.32428,1.37569,1.76769,0.62392,0.68537,0.69124,0.44434,1.43109,1.31069,1.94416,0.007327,0.007327,0.007327
83,1686.59,1.31012,1.37722,1.76058,0.52948,0.73472,0.66144,0.4212,1.45126,1.31653,1.96116,0.007294,0.007294,0.007294
84,1701.92,1.31217,1.36221,1.76007,0.59924,0.70934,0.66512,0.42779,1.42752,1.32189,1.9429,0.007261,0.007261,0.007261
85,1717.42,1.31323,1.36828,1.76163,0.61071,0.70822,0.67457,0.42872,1.43782,1.35788,1.9269,0.007228,0.007228,0.007228
86,1732.2,1.3234,1.37061,1.76691,0.59375,0.69113,0.68186,0.42969,1.45972,1.32737,1.95252,0.007195,0.007195,0.007195
87,1747.04,1.33189,1.37257,1.76623,0.60587,0.69427,0.68047,0.43069,1.46359,1.35576,1.95374,0.007162,0.007162,0.007162
88,1762.03,1.32057,1.35909,1.75729,0.61463,0.69726,0.68514,0.45035,1.40321,1.28606,1.90655,0.007129,0.007129,0.007129
89,1776.91,1.32058,1.35673,1.75763,0.64027,0.67319,0.69769,0.44077,1.43785,1.28521,1.93414,0.007096,0.007096,0.007096
90,1792.08,1.31894,1.35608,1.74264,0.57615,0.7627,0.69225,0.43741,1.4363,1.27681,1.92077,0.007063,0.007063,0.007063
91,1806.43,1.30724,1.33675,1.74125,0.59414,0.67497,0.66999,0.42683,1.42259,1.31076,1.88252,0.00703,0.00703,0.00703
92,1820.2,1.31128,1.34252,1.74845,0.58229,0.72494,0.68892,0.44171,1.44853,1.29519,1.95412,0.006997,0.006997,0.006997
93,1833.99,1.3084,1.33665,1.75016,0.60405,0.67948,0.66183,0.42911,1.451,1.32819,1.9432,0.006964,0.006964,0.006964
94,1848.07,1.31968,1.33289,1.76046,0.61384,0.64226,0.65946,0.42147,1.4384,1.33982,1.92892,0.006931,0.006931,0.006931
95,1861.84,1.29632,1.31906,1.74187,0.63228,0.66852,0.67963,0.42696,1.4226,1.3023,1.92727,0.006898,0.006898,0.006898
96,1875.95,1.29839,1.33137,1.74484,0.60185,0.728,0.66884,0.42981,1.44789,1.33225,1.96026,0.006865,0.006865,0.006865
97,1889.72,1.29846,1.32228,1.74219,0.61084,0.72356,0.68806,0.4432,1.44342,1.28407,1.93751,0.006832,0.006832,0.006832
98,1903.69,1.29998,1.31948,1.73674,0.61899,0.71287,0.69311,0.45504,1.441,1.27977,1.94067,0.006799,0.006799,0.006799
